two_theta,observed,calculated,difference
9.9,236,213.41,22.59
9.91,236,214.49,21.51
9.92,236,215.55,20.45
9.93,236,216.6,19.4
9.94,236,217.64,18.36
9.95,236,218.66,17.34
9.96,232.87,219.67,13.2
9.97,236.73,220.66,16.07
9.98,256.04,221.65,34.39
9.99,255.22,222.62,32.6
10,256.93,223.58,33.35
10.01,268.27,224.52,43.75
10.02,262.92,225.46,37.46
10.03,252.78,226.38,26.4
10.04,242.38,227.29,15.09
10.05,250.18,228.18,22
10.06,252.41,229.07,23.34
10.07,244.2,229.94,14.26
10.08,251.18,230.8,20.38
10.09,244.75,231.65,13.1
10.1,256.19,232.48,23.71
10.11,265.94,233.31,32.63
10.12,255.14,234.12,21.02
10.13,241.66,234.92,6.74
10.14,242.37,235.71,6.66
10.15,245.68,236.48,9.2
10.16,249.05,237.25,11.8
10.17,251.29,238,13.29
10.18,249.02,238.74,10.28
10.19,248.95,239.48,9.47
10.2,245,240.2,4.8
10.21,243.98,240.91,3.07
10.22,242.68,241.6,1.08
10.23,246.04,242.29,3.75
10.24,251.02,242.97,8.05
10.25,249.94,243.63,6.31
10.26,240.95,244.28,-3.33
10.27,236.02,244.93,-8.91
10.28,241.05,245.56,-4.51
10.29,244.97,246.18,-1.21
10.3,240.32,246.79,-6.47
10.31,239,247.39,-8.39
10.32,241.7,247.98,-6.28
10.33,249.36,248.56,0.8
10.34,252.65,249.13,3.52
10.35,244.28,249.69,-5.41
10.36,231.99,250.24,-18.25
10.37,237.06,250.78,-13.72
10.38,256.71,251.3,5.41
10.39,268,251.82,16.18
10.4,267.66,252.33,15.33
10.41,261.98,252.83,9.15
10.42,252.33,253.32,-0.99
10.43,247.32,253.8,-6.48
10.44,237,254.27,-17.27
10.45,249.68,254.73,-5.05
10.46,263.66,255.19,8.47
10.47,244,255.63,-11.63
10.48,231.67,256.06,-24.39
10.49,224.67,256.49,-31.82
10.5,230.64,256.9,-26.26
10.51,259.31,257.31,2
10.52,273,257.71,15.29
10.53,266.03,258.09,7.94
10.54,254.01,258.47,-4.46
10.55,251.99,258.85,-6.86
10.56,256,259.21,-3.21
10.57,253.69,259.56,-5.87
10.58,249.99,259.91,-9.92
10.59,253.65,260.24,-6.59
10.6,256.01,260.57,-4.56
10.61,259.6,260.89,-1.29
10.62,271,261.21,9.79
10.63,259.82,261.51,-1.69
10.64,237,261.81,-24.81
10.65,240.61,262.09,-21.48
10.66,252.26,262.37,-10.11
10.67,257.07,262.65,-5.58
10.68,245.73,262.91,-17.18
10.69,242.27,263.17,-20.9
10.7,249.65,263.42,-13.77
10.71,254.59,263.66,-9.07
10.72,263.31,263.9,-0.59
10.73,268.28,264.12,4.16
10.74,268.44,264.34,4.1
10.75,257.37,264.56,-7.19
10.76,254.98,264.76,-9.78
10.77,251.15,264.96,-13.81
10.78,242.25,265.15,-22.9
10.79,249,265.33,-16.33
10.8,260.02,265.51,-5.49
10.81,276.85,265.68,11.17
10.82,261.41,265.85,-4.44
10.83,258.26,266.01,-7.75
10.84,261.38,266.16,-4.78
10.85,258.97,266.3,-7.33
10.86,256.81,266.44,-9.63
10.87,252.83,266.57,-13.74
10.88,257.21,266.69,-9.48
10.89,249.83,266.81,-16.98
10.9,251.64,266.93,-15.29
10.91,240.1,267.03,-26.93
10.92,252.68,267.13,-14.45
10.93,257.45,267.23,-9.78
10.94,267.08,267.32,-0.24
10.95,254.68,267.4,-12.72
10.96,233.48,267.48,-34
10.97,230.79,267.55,-36.76
10.98,241,267.61,-26.61
10.99,237.49,267.67,-30.18
11,231.59,267.73,-36.14
11.01,244.23,267.78,-23.55
11.02,264.95,267.82,-2.87
11.03,269.23,267.86,1.37
11.04,268.28,267.89,0.39
11.05,253.14,267.92,-14.78
11.06,244.46,267.95,-23.49
11.07,241.53,267.96,-26.43
11.08,245.1,267.98,-22.88
11.09,244.16,267.99,-23.83
11.1,251.95,267.99,-16.04
11.11,254.63,267.99,-13.36
11.12,250.64,267.98,-17.34
11.13,239.63,267.97,-28.34
11.14,245.41,267.95,-22.54
